Country,Year,CPI_General,CPI_Food
Aland Islands Islands,2000,85.6,83.4
Albania,2000,74.1,
Algeria,2000,70.4,
Angola,2000,2.9,
Anguilla,2000,68.4,
Antigua and Barbuda,2000,81.1,
Armenia,2000,65,
Aruba,2000,72,
Australia,2000,74.4,
Austria,2000,82.6,79.1
Azerbaijan,2000,49,
Bahamas,2000,80,
Bahrain,2000,83.4,
Bangladesh,2000,53.9,
Belarus,2000,16,
Belgium,2000,81.4,76.6
Belize,2000,77.9,76.6
Benin,2000,74.3,
Bhutan,2000,80.6,
Bolivia,2000,62.6,
Botswana,2000,44,
Brazil,2000,52.5,
Brunei Darussalam,2000,95,
Bulgaria,2000,56.1,61.8
Burkina Faso,2000,74.9,
Burundi,2000,41.9,40.8
Cabo Verde,2000,78.7,
Cambodia,2000,61,
Cameroon,2000,77.6,
Canada,2000,81.9,75.8
Central African Republic,2000,72.5,
Chad,2000,72.2,
"China, Macao SAR",2000,80.5,
Colombia,2000,58.2,
Comoros,2000,69.1,
"Congo, Dem. Rep.",2000,6.8,
"Congo, Rep.",2000,75.8,
Costa Rica,2000,37.4,
Cote d’Ivoire,2000,75.2,66.3
Croatia,2000,75.8,
Curaçao,2000,76.9,
Cyprus,2000,77.4,
Czechia,2000,77.8,86.5
Denmark,2000,81.7,
Djibouti,2000,70.1,
Dominica,2000,80.4,
Dominican Republic,2000,31.8,32.1
Ecuador,2000,45.6,
Egypt,2000,45.1,
El Salvador,2000,71.4,
Equatorial Guinea,2000,56,
Estonia,2000,66.5,65.2
Eswatini,2000,50.3,
Ethiopia,2000,37.6,
Fiji,2000,70.1,
Finland,2000,86.1,82.5
France,2000,84.4,82
Gabon,2000,81.6,
Gambia,2000,51,
Georgia,2000,54.9,
Germany,2000,85.7,84.9
Ghana,2000,19.2,
Greece,2000,72.2,73.9
Grenada,2000,73.5,
Guatemala,2000,51.9,
Guinea-Bissau,2000,78.4,
Guyana,2000,56.4,
Haiti,2000,26.9,
Honduras,2000,48.1,51.5
Hong Kong,2000,95.9,
Hungary,2000,57.9,
Iceland,2000,54.7,61.7
India,2000,54.3,
Indonesia,2000,44,
Iraq,2000,18.2,
Ireland,2000,78.4,88.3
Israel,2000,80.9,72.1
Italy,2000,80.7,78.2
Jamaica,2000,33.8,31.6
Japan,2000,102.7,98.4
Jordan,2000,66.1,
Kazakhstan,2000,43.8,
Kenya,2000,38.1,
Korea,2000,73.1,62.9
Kuwait,2000,69.9,
Kyrgyzstan,2000,49,
Lao,2000,48.1,
Latvia,2000,59.2,53
Lesotho,2000,50.7,
Libya,2000,98.8,
Lithuania,2000,74.4,68.7
Luxembourg,2000,80.1,76.3
Madagascar,2000,37.7,
Malawi,2000,32.4,
Malaysia,2000,80.5,
Maldives,2000,71.1,
Mali,2000,76.4,
Malta,2000,78.8,
Mauritius,2000,56.9,
Mexico,2000,63.3,57.5
Micronesia (Fed. States of),2000,72.4,
Mongolia,2000,41.6,
Morocco,2000,83.6,
Myanmar,2000,15,
Netherlands,2000,82,85.7
New Zealand,2000,77,
Nicaragua,2000,45.7,
Nigeria,2000,29.6,
North Macedonia,2000,79.9,
Norway,2000,81.9,85.6
Oman,2000,74.8,
Pakistan,2000,43.4,
Panama,2000,77.3,
Papua New Guinea,2000,52.9,
Paraguay,2000,47.3,36.1
Peru,2000,79.2,
Portugal,2000,78.5,85.6
Romania,2000,32,
Russian Federation,2000,30.8,
Saint Vincent & Grenadines,2000,74.1,
Samoa,2000,57.4,
Sao Tome and Principe,2000,22.3,
Senegal,2000,80.9,
Serbia,2000,19.8,
