Country,Year,Enroll_Ratio_Primary_Female,Enroll_Ratio_Primary_Male,Enroll_Ratio_Secondary_Female,Enroll_Ratio_Secondary_Male,Enroll_Ratio_UpperSecondary_Female,Enroll_Ratio_UpperSecondary_Male
Antigua and Barbuda,2000,,,76.6,83,77.8,78
Armenia,2000,99.3,98,96.5,87.8,89.9,79.8
Guinea-Bissau,2000,60.6,90.9,12.7,23.6,7.5,14.3
Kazakhstan,2000,97.1,96.8,96.2,91.3,102,94.8
Liberia,2000,98.5,133.7,30.3,41.4,29.5,34.4
Central African Republic,2001,63.9,91.8,8.3,15.7,5.2,10.7
China,2001,111.8,112.8,58,62,35.2,38.6
Gibraltar,2001,84.3,84.6,100.3,98.6,91.7,89.2
Sierra Leone,2001,60.4,85.4,20.3,28.1,20.7,25.8
Tonga,2001,106.6,110.9,111.3,101.6,100.7,88
Tuvalu,2001,114.7,108.9,58.4,60.5,18.7,22.1
Angola,2002,,,13.6,16.4,7.8,10.5
Central African Republic,2002,55.3,81.2,,,5.2,10.8
"Congo, Dem. Rep.",2002,59,74.8,,,,
Gabon,2002,140.6,141.2,,,,
Nauru,2002,101.5,117.6,48.9,42.4,9,7.6
Tonga,2002,106.7,111.7,116.4,105.5,,
China,2003,,,60.3,63.9,35.9,40.1
Cook Islands,2003,79,82.5,70.5,67.8,62.1,49.7
Cote d’Ivoire,2003,63.5,80.2,,,,
Gabon,2003,137.1,137.9,,,,
India,2003,101.9,103.4,44.5,54.3,31.8,42
Tokelau,2003,111.8,107.6,86.7,80,26.2,20
Zimbabwe,2003,103.2,105.4,37.4,42.6,27.1,32.7
Benin,2004,89.9,117.2,18.4,39.2,8.4,21.6
Cambodia,2004,126.4,137.3,25.7,36.7,12.4,21.5
Comoros,2004,101.6,114.5,38,49.8,30.6,39
"Congo, Rep.",2004,105.8,112.8,40.8,48.5,19.5,28.1
Egypt,2004,94.1,97.2,79.6,84,70.5,73.2
Fiji,2004,111.8,113.5,93.9,88.1,76.3,68.8
Iraq,2004,95.3,113,38.2,56.9,27.7,38.9
Maldives,2004,121.3,124.2,72.7,63.3,13.2,18.6
Niue,2004,103.3,96.8,89.8,76.9,121.2,66.1
Palau,2004,108.7,111.2,90.9,90.2,87.5,79.1
Trinidad and Tobago,2004,100,103.4,88.5,82.6,89.3,81.3
Turks and Caicos Islands,2004,83.2,77.3,73.4,75.1,68.1,57.7
Uganda,2004,127.9,130.9,17.1,21.7,8.6,12.8
Vanuatu,2004,120,122.4,39.5,45.8,27.5,45.7
Afghanistan,2005,71.8,123.1,9,27.6,4.9,17.5
Albania,2005,101,100.4,76.5,79.2,56.8,62.1
Algeria,2005,103.3,111.7,82.7,75.5,62.4,42.3
Anguilla,2005,114.5,112.5,94.7,96,93.5,92
Argentina,2005,114.7,115.8,96.8,88.8,75.6,65.2
Armenia,2005,96.3,94.6,,,,
Aruba,2005,107.8,114.9,96.1,95.8,89.8,79.6
Australia,2005,103.6,102,,,,
Austria,2005,100.8,100.9,97.8,102.8,94.3,103.1
Azerbaijan,2005,92.8,98.2,,,,
Bahamas,2005,98.8,101.9,88.1,88.8,82.6,78.6
Bahrain,2005,97.5,94.1,101.5,91.5,97.3,82
Bangladesh,2005,104,99.4,48.5,45.5,31.5,32.3
Barbados,2005,95.9,96.3,108,109.1,116.7,113
Belarus,2005,96.7,100,,,,
Belgium,2005,100.2,100.7,169.1,151.1,162.4,147.2
Belize,2005,110.8,115.7,77.7,75.3,59.8,51.5
Benin,2005,89,112.4,,,15.2,29.6
Bermuda,2005,100,95.1,83.6,73.9,78.1,66
Bhutan,2005,89.9,92.2,42.7,46.3,21.8,31.7
Bolivia,2005,114.9,114.7,84.9,89,78.2,82
Botswana,2005,110.4,111.9,84.8,82.4,66.1,68
Brazil,2005,129.2,137.2,106.2,96.5,98,83.4
British Virgin Islands,2005,109.8,114.8,123.6,110.7,105.9,101.7
Brunei Darussalam,2005,108.4,112.7,95.8,97.3,83.9,78.7
Bulgaria,2005,102.8,103.9,87.3,91,89,90.9
Burkina Faso,2005,51.8,64.6,11.8,16.7,5.3,8.8
Burundi,2005,74.7,87.3,11,15,5.9,9
Cabo Verde,2005,111.7,116.7,75.3,66.8,50.4,44.3
Cambodia,2005,126,135.6,,,,
Cameroon,2005,94.3,112.5,23.8,30.2,16.8,21.8
Canada,2005,96.9,97.8,100.2,102.5,101.4,103.9
Cayman Islands,2005,83.2,87.1,77.9,83.6,71.4,71.7
Central African Republic,2005,52.6,75.1,,,,
Chad,2005,57.8,85.3,8,23.2,4.4,16
Chile,2005,102.1,106.9,94.1,92.9,90.8,87.8
"China, Macao SAR",2005,96.8,103,83.3,89.4,68.8,70.4
