Country,Year,Pop_mill,Pop_male_mill,Pop_female_mill,Pop_0_14_per,Pop_60_plus_per,Pop_density,Surface_area_thou_km2
Afghanistan,2010,28.19,14.24,13.95,49,3.8,43.4,
Albania,2010,2.91,1.46,1.45,21,16.2,106.3,
Algeria,2010,35.86,18.28,17.57,27.6,7.1,15.1,
American Samoa,2010,0.05,0.03,0.03,34.6,6.7,274.2,
Andorra,2010,0.07,0.04,0.04,16.3,15.3,152.2,
Angola,2010,23.36,11.51,11.85,45.7,4.1,18.7,
Anguilla,2010,0.01,0.01,0.01,23.6,10.3,149.7,
Antigua and Barbuda,2010,0.09,0.04,0.05,23.8,10.4,194.8,
Argentina,2010,41.1,20.31,20.79,25.6,14.6,14.7,
Armenia,2010,2.95,1.36,1.59,19.3,14,103.5,
Aruba,2010,0.1,0.05,0.05,20.7,14.7,557.5,
Australia,2010,22.02,10.96,11.06,19.1,19,2.9,
Austria,2010,8.36,4.07,4.29,14.8,23.2,101.3,
Azerbaijan,2010,9.24,4.53,4.71,23.9,7.9,111.8,
Bahamas,2010,0.37,0.18,0.19,26.4,9.1,69.7,
Bahrain,2010,1.21,0.75,0.46,20.5,3.5,1550,
Bangladesh,2010,148.39,74.21,74.18,33.4,6.7,1140,
Barbados,2010,0.27,0.13,0.14,20.1,16.6,638.9,
Belarus,2010,9.73,4.51,5.22,14.9,19.7,48,
Belgium,2010,10.88,5.33,5.55,16.9,23.1,359.3,
Belize,2010,0.32,0.16,0.16,35.5,5.9,14.1,
Benin,2010,9.45,4.71,4.74,43.7,4.8,83.8,
Bermuda,2010,0.06,0.03,0.03,16.2,19,1174.9,
Bhutan,2010,0.71,0.38,0.33,29.6,7.5,18.4,
Bolivia,2010,10.22,5.15,5.07,34.8,7.2,9.4,
"Bonaire, St. Eustatius & Saba",2010,0.02,0.01,0.01,18.9,13.9,61.7,
Bosnia and Herzegovina,2010,3.81,1.86,1.95,15.9,19.5,74.4,
Botswana,2010,2.09,1.03,1.06,34.8,4.8,3.7,
Brazil,2010,196.35,96.81,99.55,24.8,10.3,23.5,
British Virgin Islands,2010,0.03,0.01,0.01,22.1,9.5,178.9,
Brunei Darussalam,2010,0.4,0.21,0.19,26,5.5,68.7,
Bulgaria,2010,7.59,3.67,3.92,13.7,25.4,70,
Burkina Faso,2010,16.12,8,8.12,45.6,4.2,58.9,
Burundi,2010,9.13,4.52,4.61,44.9,3.7,351.7,
Cabo Verde,2010,0.52,0.26,0.26,32,7.6,129.3,
Cambodia,2010,14.36,7.1,7.26,32.1,5.7,79.3,
Cameroon,2010,19.88,9.89,9.99,43.8,4.5,42.7,
Canada,2010,33.96,16.83,17.13,16.6,19.9,3.7,
Cayman Islands,2010,0.05,0.03,0.03,18.3,8.5,224.4,
Central African Republic,2010,4.66,2.34,2.32,46,3.5,7.5,
Chad,2010,11.89,5.96,5.94,48.6,3.4,9.4,
Chile,2010,17,8.44,8.57,21.5,13.9,22.6,
China,2010,1348.19,690.08,658.11,18.5,12.8,140.4,
"China, Macao SAR",2010,0.56,0.27,0.29,12.9,11.3,17415.5,
Colombia,2010,44.82,22.17,22.65,27.1,9,39.9,
Comoros,2010,0.66,0.33,0.33,42,6,352.5,
"Congo, Dem. Rep.",2010,66.39,32.89,33.51,46.2,4.9,29.3,
"Congo, Rep.",2010,4.44,2.21,2.23,40.6,4.1,13,
Cook Islands,2010,0.02,0.01,0.01,28.1,12.1,71.7,
Costa Rica,2010,4.62,2.32,2.3,24.7,10.9,90.5,
Cote d’Ivoire,2010,21.12,10.72,10.4,44,3.8,66.4,
Croatia,2010,4.37,2.1,2.27,15.3,23.8,78.2,
Cuba,2010,11.29,5.64,5.65,17.7,17.6,105.8,
Curaçao,2010,0.16,0.07,0.09,22.1,17.3,375.9,
Cyprus,2010,1.13,0.57,0.56,17,15.9,122.3,
Czechia,2010,10.46,5.13,5.33,14.4,22.5,135.5,
Denmark,2010,5.55,2.75,2.8,18,23.2,130.9,
Djibouti,2010,0.92,0.46,0.46,36.1,5.9,39.7,
Dominica,2010,0.07,0.03,0.03,23.6,14.8,91.7,
Dominican Republic,2010,9.78,4.94,4.83,30.7,8.1,202.4,
Ecuador,2010,14.99,7.5,7.49,31.2,8.6,60.4,
Egypt,2010,87.25,44.18,43.08,33.3,6.6,87.7,
El Salvador,2010,6.11,2.92,3.19,31.8,9.7,295.1,
Equatorial Guinea,2010,1.09,0.57,0.52,38.9,5,39,
Eritrea,2010,3.15,1.55,1.6,42.7,5.5,26,
Estonia,2010,1.33,0.62,0.71,15.2,23.3,30.6,
Eswatini,2010,1.1,0.53,0.57,38.8,4.7,63.3,
Ethiopia,2010,89.24,44.92,44.32,45.1,4.4,89.2,
Falkland Islands (Malvinas),2010,0,0,0,17.6,15.9,0.3,
Faroe Islands,2010,0.05,0.03,0.02,21.8,20.5,35,
Fiji,2010,0.91,0.46,0.44,31.1,6.9,49.5,
Finland,2010,5.36,2.63,2.73,16.6,24.7,17.7,
France,2010,62.44,30.23,32.22,18.3,23.2,113.3,
French Guiana,2010,0.23,0.11,0.12,35.2,6.2,2.8,
French Polynesia,2010,0.28,0.15,0.14,25.7,9.5,77,
Gabon,2010,1.71,0.87,0.85,37.4,6.1,6.6,
Gambia,2010,1.94,0.96,0.98,45.7,4.2,191.4,
Georgia,2010,3.84,1.8,2.03,18.7,17.8,55.2,
Germany,2010,81.33,39.82,41.51,13.6,25.9,233.3,
Ghana,2010,25.57,12.74,12.83,39.2,4.8,112.4,
Gibraltar,2010,0.03,0.02,0.02,18.1,22,3126.2,
Greece,2010,11.03,5.45,5.58,14.6,25,84.3,
Greenland,2010,0.06,0.03,0.03,22.4,10.9,0.1,
Grenada,2010,0.11,0.06,0.06,24.7,12.1,335.4,
Guadeloupe,2010,0.4,0.19,0.22,22,18.8,247.6,
Guam,2010,0.16,0.08,0.08,27.1,10.6,304.8,
Guatemala,2010,14.54,7.21,7.33,39.1,6,135.7,
Guinea,2010,10.27,5.04,5.24,44.5,5.4,41.8,
Guinea-Bissau,2010,1.57,0.77,0.8,43.6,4.2,55.7,
Guyana,2010,0.75,0.37,0.38,32.3,7.1,3.8,
Haiti,2010,9.84,4.89,4.95,36,6.1,357,
Holy See,2010,,,,,,1353.4,
Honduras,2010,8.45,4.27,4.18,37.7,5,77.5,
Hong Kong,2010,7.13,3.36,3.78,12.3,18.5,6489.9,
Hungary,2010,9.99,4.74,5.24,14.7,22.6,110.3,
Iceland,2010,0.32,0.16,0.16,20.9,17,3.2,
India,2010,1240.61,641.57,599.05,31,7.8,417.3,
Indonesia,2010,244.02,122.88,121.13,27.9,8.7,127.7,
Iran,2010,75.37,38.3,37.07,22.3,7.8,46.3,
Iraq,2010,31.26,15.56,15.71,41.2,4.7,72,
Ireland,2010,4.52,2.25,2.28,21.1,16.1,66.2,
Isle of Man,2010,0.08,0.04,0.04,16.7,24.4,146.6,
Israel,2010,7.33,3.63,3.7,27.8,14.3,338.6,
Italy,2010,59.82,28.96,30.87,14.1,26.7,202.1,
Jamaica,2010,2.73,1.36,1.38,26.6,8.4,252.4,
Japan,2010,128.11,62.42,65.69,13.2,31.5,340,
Jordan,2010,6.93,3.56,3.37,36.6,5.3,78.1,
Kazakhstan,2010,16.63,7.92,8.71,24.6,10.1,6.2,
Kenya,2010,41.52,20.64,20.88,43.3,3.3,71.5,
Kiribati,2010,0.11,0.05,0.06,36.4,5.2,148.8,
Korea,2010,24.69,12.07,12.62,21.7,13.9,205,
Kuwait,2010,2.94,1.68,1.27,23,3.2,165.2,
